evolved_compound,grown_compound,strain,repl,growth_rate,rel_growth_rate,growth_ratio,exp_name
glutarate,M9,GLUT7-2,2,0.5405402944574512,-0.000572499445682273,0.998941996101122,GLUT
glutarate,M9,GLUT7-7,3,0.5240566722340986,-0.017056121669034918,0.9684795446324483,GLUT
glutarate,M9,GLUT8-9,1,0.6387592619162881,0.09764646801315457,1.1804549238409519,GLUT
NA,M9,MG1655,5,0.5453974566967689,0.004284662793635374,1.0079182433716443,GLUT
glutarate,M9,GLUT1-10,2,0.6173078581383513,0.07619506423521782,1.1408117957914294,GLUT
glutarate,M9,GLUT2-9,3,0.5208858216317672,-0.020226972271366273,0.9626196746791628,GLUT
glutarate,M9,GLUT3-7,1,0.5664791798991982,0.025366385996064666,1.046878185623912,GLUT
glutarate,M9,GLUT4-1,2,0.5110952037366328,-0.03001759016650074,0.9445261865830614,GLUT
glutarate,M9,GLUT4-10,3,0.5712064994866642,0.03009370558353075,1.0556144780212273,GLUT
glutarate,M9,GLUT5-9,1,0.574308510536637,0.033195716633503514,1.061347129484885,GLUT
glutarate,M9,GLUT6-5,2,0.5035511590212056,-0.037561634881927874,0.9305844635256362,GLUT
glutarate,M9,GLUT7-2,3,0.5306662054383054,-0.010446588464828044,0.9806942497340062,GLUT
glutarate,M9,GLUT8-5,1,0.5764864216209618,0.03537362771782826,1.0653720039821506,GLUT
glutarate,M9,GLUT8-9,2,0.6544246183633047,0.11331182446017118,1.2094051845324794,GLUT
glutarate,M9,GLUT1-3,1,0.5514797468228259,0.010366952919692363,1.01915858031172,GLUT
glutarate,M9,GLUT1-10,3,0.5986672911380235,0.057554497234890034,1.1063632164742219,GLUT
glutarate,M9,GLUT2-10,1,0.5451932296188388,0.004080435715705266,1.007540822840784,GLUT
glutarate,M9,GLUT3-7,2,0.5925682304729726,0.051455436569839086,1.0950918868479949,GLUT
glutarate,M9,GLUT4-1,3,0.5296016218778908,-0.011511172025242655,0.9787268529686561,GLUT
glutarate,M9,GLUT5-4,1,0.6060630069955988,0.06495021309246529,1.1200308213449712,GLUT
glutarate,M9,GLUT5-9,2,0.5490520197044272,0.007939225801293692,1.0146720349079659,GLUT
glutarate,M9,GLUT6-5,3,0.5090940988861672,-0.0320186950169663,0.9408280577030709,GLUT
glutarate,M9,GLUT7-6,1,0.5800186783308406,0.03890588442770715,1.0718997681556792,GLUT
glutarate,M9,GLUT8-5,2,0.5927829191932834,0.051670125290149915,1.095488640949413,GLUT
glutarate,M9,GLUT8-9,3,0.636250273269877,0.09513747936674355,1.175818203595782,GLUT
glutarate,M9,GLUT1-3,2,0.5318544790002313,-0.009258314902902187,0.982890231006884,GLUT
